landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z,aligned_x,aligned_y,aligned_z,gt_first_x,gt_first_y,gt_first_z,error,error_rigid_aligned
883,-6.053018570,-2.002301931,-1.884560585,-1.207389593,-0.399397165,-0.375911415,-0.107135385,1.213162541,0.374654084,-0.366192997,1.025020003,0.424703002,1.837813735,0.324057639
885,13.918160439,-9.185629845,20.267518997,2.776241541,-1.832248449,4.042741776,4.299690247,-2.776896238,1.825926900,4.265560150,-2.791929960,1.842550039,2.824872017,0.040831421
886,-9.899238586,-6.539599419,20.355041504,-1.974591255,-1.304447412,4.060199738,4.325932503,1.974071264,1.299709320,4.275050163,1.981799960,1.309229970,7.577946663,0.052339163
888,18.350627899,-11.721607208,-21.861200333,3.660381317,-2.338097334,-4.360631943,-4.107044220,-3.649803877,2.294037580,-2.924880028,-2.362499952,1.923619986,9.102642059,1.786581278
889,-3.095946789,-1.182466984,45.481719971,-0.617545426,-0.235865504,9.072193146,9.340798378,0.610565841,0.253048152,9.105290413,0.616659999,0.226977006,13.171870232,0.237024993
892,0.845828295,-9.353965759,27.583999634,0.168716520,-1.865826249,5.502152920,5.762465477,-0.171362162,1.866832376,5.723209858,-0.168880999,1.872810006,6.848660469,0.039785571
894,17.838333130,-5.034706593,-19.733545303,3.558194399,-1.004267931,-3.936230659,-3.676563501,-3.547778845,0.962145388,-2.747900009,-2.475059986,0.841646016,8.047245979,1.423959851
897,-35.191696167,-6.082333565,10.264076233,-7.019652367,-1.213237047,2.047364950,2.320355415,7.021883011,1.201121807,2.167659998,7.372129917,1.278439999,12.597876549,0.389829308
898,-5.748397350,-0.676767826,26.183616638,-1.146627069,-0.134994209,5.222819805,5.492630959,1.144894719,0.135188237,5.427760124,1.147660017,0.135162994,8.411421776,0.064929754
901,-49.978939056,-4.403059959,20.222160339,-9.969248772,-0.878273964,4.033694267,4.312149048,9.968888283,0.875946760,4.274930000,9.829099655,0.881605983,18.096412659,0.144769281
903,20.697744370,-4.480034828,16.570205688,4.128558159,-0.893628061,3.305242300,3.564552307,-4.127921104,0.883601904,3.523230076,-4.151040077,0.898397028,4.095126152,0.049607556
904,29.893463135,-6.256455421,32.750293732,5.962819099,-1.247968912,6.532668114,6.787879944,-5.966664314,1.251744628,6.786459923,-6.015429974,1.257949948,7.157494068,0.049179386
905,-15.030004501,-8.742676735,16.000102997,-2.998019934,-1.743893027,3.191524506,3.456692696,2.998540163,1.735602021,3.404629946,3.010309935,1.751090050,8.103778839,0.055578202
907,-45.758842468,-2.476430416,14.420499802,-9.127470970,-0.493971109,2.876442671,3.155483484,9.128798485,0.486223996,3.175820112,8.821619987,0.472324997,15.618289948,0.308164537
908,6.203160286,-10.963354111,-5.392222404,1.237338185,-2.186849356,-1.075581193,-0.818074465,-1.231168151,2.158197880,-0.499657989,-0.787364006,1.982499957,3.785178185,0.573777735
909,-35.265373230,-4.676141739,-18.700561523,-7.034348965,-0.932745337,-3.730182409,-3.455859184,7.044495583,0.894886971,-3.405400038,6.952980042,0.919712007,9.847611427,0.107412763
910,-13.844877243,-4.932417870,14.658166885,-2.761623859,-0.983864486,2.923849821,3.192088842,2.762742519,0.974313498,3.135659933,2.772769928,0.987878025,7.255221844,0.058896240
911,-18.105331421,-5.617981911,28.225528717,-3.611452341,-1.120613217,5.630117893,5.898868561,3.608860016,1.123391032,5.848919868,3.623420000,1.124590039,11.502358437,0.052041356
914,-48.942718506,-0.648825526,37.780204773,-9.762555122,-0.129420578,7.535979748,7.817454338,9.757679939,0.142645329,7.693510056,9.642100334,0.149465993,21.325042725,0.169609413
916,-0.164835930,-4.912503719,-17.057552338,-0.032879658,-0.979892194,-3.402452946,-3.137821436,0.042575501,0.941282988,-2.973299980,0.125263005,0.941928029,5.361071587,0.184132963
918,22.235874176,-1.224447727,14.044963837,4.435367584,-0.244239360,2.801534891,3.063329697,-4.433846474,0.231877804,3.016590118,-4.459209919,0.245438993,5.129574299,0.054879855
920,-14.572212219,-3.556647539,25.165210724,-2.906704664,-0.709440947,5.019679546,5.289315224,2.905067682,0.709279597,5.237689972,2.917140007,0.712082028,9.901447296,0.053092007
