landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z
341,-9.324015617,-2.601252079,38.791072845,-1.859852076,-0.518869162,7.737616539
343,-20.372203827,-1.479310393,21.297548294,-4.063622952,-0.295076579,4.248200893
344,-38.440296173,-1.098623753,-15.953374863,-7.667647362,-0.219141379,-3.182203770
346,-18.915824890,-7.397880554,-6.713206291,-3.773120642,-1.475647807,-1.339076519
347,26.439605713,-4.650219917,35.029472351,5.273881912,-0.927574694,6.987293720
348,3.664382935,-3.446521521,35.930648804,0.730930805,-0.687474191,7.167050362
349,-44.403549194,-8.989300728,39.097122192,-8.857131958,-1.793086886,7.798664093
352,2.926339149,-3.423400402,-7.446799278,0.583713949,-0.682862282,-1.485405564
353,-7.019860268,-5.433276653,18.644578934,-1.400244474,-1.083770275,3.719015598
354,21.588062286,-0.381454825,40.156120300,4.306149006,-0.076088414,8.009901047
357,-26.836469650,-0.563608646,32.483474731,-5.353043556,-0.112422451,6.479446411
361,-48.250663757,-6.299200535,38.186088562,-9.624511719,-1.256495237,7.616940975
364,8.687719345,-2.981637001,1.434514046,1.732930660,-0.594744146,0.286141068
366,-41.134109497,-8.471566200,41.681949615,-8.204979897,-1.689814806,8.314256668
367,-5.708676338,-9.273679733,9.778661728,-1.138703942,-1.849811673,1.950539827
372,11.181295395,-2.085729599,37.786415100,2.230321884,-0.416038394,7.537218571
373,18.970027924,-0.312939823,28.947933197,3.783932447,-0.062421795,5.774215221
374,32.132751465,-4.988071442,19.262065887,6.409487724,-0.994965613,3.842185020
376,-48.881420135,-7.467453003,30.295270920,-9.750328064,-1.489525437,6.042967319
377,-40.197780609,-1.448179841,-0.169206619,-8.018211365,-0.288866997,-0.033751477
379,-35.771583557,-8.871667862,32.784729004,-7.135322094,-1.769622684,6.539536953
383,-26.971389771,-5.382742405,41.215877533,-5.379956245,-1.073690295,8.221289635
386,-46.781517029,-2.576716900,24.060796738,-9.331462860,-0.513975143,4.799383163
387,-6.073377132,-5.221985817,-1.583103180,-1.211450458,-1.041624308,-0.315780014
390,-16.700389862,-0.883273005,33.612091064,-3.331210136,-0.176185578,6.704570293
391,-36.211746216,-1.289293289,45.163520813,-7.223120689,-0.257174045,9.008722305
392,-45.952537537,-0.868875265,32.084175110,-9.166107178,-0.173313677,6.399798393
393,-32.505107880,-2.122158051,6.062629223,-6.483761311,-0.423304737,1.209306598
394,26.664157867,-6.616326332,34.761814117,5.318673134,-1.319751978,6.933904171
395,-24.411251068,-0.727909446,45.655227661,-4.869287968,-0.145195365,9.106802940
396,-12.396261215,-8.589156151,23.223987579,-2.472669840,-1.713270426,4.632465363
398,5.832805634,-1.431033134,11.601202011,1.163463950,-0.285446763,2.314080238
401,-12.898059845,-2.671361446,34.221004486,-2.572763205,-0.532853782,6.826029778
402,-31.591854095,-2.353695393,-3.586222649,-6.301595688,-0.469489276,-0.715340257
403,9.166048050,-2.110553980,29.637533188,1.828342438,-0.420990080,5.911768913
